epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.902,0.89264,2.02925,3.21059,1.17901,0.01287,0.65248,0.16442,0.11877,0.01278,0.63029,0.16878,0.12188,0.67714,1.54053,3.36674,1.09282,0.00017148,0.00017148,0.00017148
2,204.463,0.7767,1.35074,2.51827,1.1839,0.01459,0.73186,0.18138,0.12879,0.0137,0.65589,0.1829,0.13891,0.84928,2.12912,3.24104,1.22976,0.000321882,0.000321882,0.000321882
3,300.162,0.82249,1.30301,2.32005,1.15841,0.32359,0.24383,0.18812,0.11866,0.31392,0.21485,0.17107,0.10839,0.82646,2.16583,3.19724,1.27537,0.000435502,0.000435502,0.000435502
4,401.475,0.79494,1.28618,1.99787,1.05259,0.79467,0.08836,0.28977,0.17015,0.79467,0.08836,0.23327,0.13737,0.89392,1.72246,2.95098,1.22926,0.000512339,0.000512339,0.000512339
5,496.074,0.73846,1.36066,1.93471,1.13181,0.60589,0.23365,0.4048,0.27702,0.52527,0.21358,0.35317,0.26016,0.76553,1.70915,2.66806,1.21006,0.000552394,0.000552394,0.000552394
6,589.472,0.80122,1.27628,1.8832,1.13187,0.53851,0.45875,0.51737,0.3093,0.51262,0.41455,0.42805,0.31533,0.84651,1.93181,2.48805,1.36091,0.000555667,0.000555667,0.000555667
7,682.883,0.7661,1.5369,1.68584,1.09856,0.49498,0.5858,0.54051,0.3447,0.43505,0.49858,0.4132,0.30212,0.83167,1.66299,2.25023,1.29488,0.000522157,0.000522157,0.000522157
8,779.125,0.6908,1.15643,1.69182,1.11571,0.49704,0.62898,0.52938,0.35261,0.454,0.58043,0.43544,0.30967,0.82503,1.67566,2.19745,1.27187,0.000438703,0.000438703,0.000438703
9,869.638,0.66779,1.04533,1.66644,1.05532,0.57923,0.68906,0.57872,0.39007,0.50173,0.63518,0.46255,0.33296,0.78465,1.69074,2.05603,1.23085,0.000297232,0.000297232,0.000297232
10,953.372,0.67887,1.25419,1.60911,1.04448,0.62167,0.67036,0.59388,0.40767,0.54162,0.61136,0.48974,0.35321,0.7607,1.67231,1.96998,1.21665,0.000155761,0.000155761,0.000155761
